date,sentiment_score
2012-12-03,0.04565506428480148
2012-12-10,0.5846418607980013
2012-12-11,0.4037243544589728
2012-12-12,0.5532353609386418
2012-12-13,0.08687508602937062
2012-12-14,0.2839808960755666
2012-12-15,0.4259098432958126
2012-12-17,0.26737997255155016
2012-12-18,0.3442783833791812
2012-12-19,0.5745738185942173
2012-12-20,0.20588061089317003
2012-12-21,-0.19138318225741385
2012-12-24,0.05881160497665405
2012-12-27,-0.017793498933315277
2012-12-28,-0.012983261297146479
2012-12-31,-0.36660752817988396
2013-01-02,0.007145918905735016
2013-01-04,-0.060420360416173935
2013-01-07,-0.9495487809181213
2013-01-08,0.13227725699543952
2013-01-09,0.3750602938234806
2013-01-10,0.172291432817777
2013-01-11,0.0982944006100297
2013-01-12,0.04717787355184555
2013-01-14,0.1300158381462097
2013-01-15,0.4918374180793762
2013-01-17,0.5135363563895226
2013-01-18,0.4579005613923073
2013-01-21,-0.6344625999530157
2013-01-22,0.3612694025039673
2013-01-23,-0.2889209911227226
2013-01-24,-0.324105259263888
2013-01-25,0.14924492438634238
2013-01-26,-0.7292782664299011
2013-01-27,0.05010581761598587
2013-01-28,0.4090348581473033
2013-01-29,0.36796634857143673
2013-01-30,0.4504670302073161
2013-01-31,0.13778617683177194
2013-02-01,0.2536190771497786
2013-02-04,-0.16163184493780136
2013-02-05,0.3627094246447086
2013-02-06,0.34029151732102036
2013-02-07,-0.05419427156448364
2013-02-08,-0.2720321152980129
2013-02-09,-0.4441575398668647
2013-02-10,0.020204933360219002
2013-02-11,0.2825041056300203
2013-02-12,0.4790210450688998
2013-02-13,0.5270703021023009
2013-02-14,0.5414985758917672
2013-02-15,-0.011490195989608765
2013-02-18,0.08514897525310516
2013-02-19,0.08473607641644776
2013-02-20,-0.10857185092754662
2013-02-21,0.004455380141735077
2013-02-22,-0.0031431070528924465
2013-02-23,0.17749397456645966
2013-02-25,0.14734166953712702
2013-02-26,0.11784327842972496
2013-02-27,-0.0036280376629696954
2013-02-28,0.15189266558736564
2013-03-01,0.09766731336712837
2013-03-04,0.15381984924897552
2013-03-05,0.5254988031727927
2013-03-06,0.15599115267395974
2013-03-07,0.17409201140981168
2013-03-08,0.23869872093200684
2013-03-11,0.5544398780912161
2013-03-12,0.3341306829108642
2013-03-13,0.4367467530071735
2013-03-14,0.203328207321465
2013-03-15,-0.14134981483221054
2013-03-16,-0.6713367104530334
2013-03-17,0.10590048134326935
2013-03-18,-0.08048234338110144
2013-03-19,0.0636312316425822
2013-03-20,0.25947510413825514
2013-03-21,0.2267164816148579
2013-03-22,-0.2623200702170531
2013-03-25,0.23608377436175942
2013-03-26,0.26357624360493254
2013-03-27,0.10064212803263217
2013-03-28,0.1397120631299913
2013-03-29,0.010572278872132301
2013-04-01,-0.14696298319507728
2013-04-02,0.5356078684329987
2013-04-03,0.026471009012311697
2013-04-04,-0.3222730979323387
2013-04-05,0.3389076743274927
2013-04-08,0.3689115973697467
2013-04-09,0.2857014641165733
2013-04-10,0.1769857560949666
2013-04-11,0.07261210090170304
2013-04-12,-0.25802132735649747
2013-04-14,0.0977444052696228
2013-04-15,0.32033308409154415
2013-04-16,-0.006968257576227188
2013-04-17,0.14086619309253162
2013-04-18,-0.08642321247607469
2013-04-19,0.11340031214058399
2013-04-20,0.36440427601337433
2013-04-21,-0.04116247873753309
2013-04-22,0.04257953679189086
2013-04-23,0.4761796253733337
2013-04-24,0.417773171638449
2013-04-25,-0.08679171822344263
2013-04-26,0.07985723167657852
2013-04-27,0.6344170570373535
2013-04-29,0.3338050903486354
2013-04-30,0.27747380720185383
2013-05-01,0.24049682542681694
2013-05-02,-0.1373739719390869
2013-05-03,0.08332678154110909
2013-05-05,0.598713755607605
2013-05-06,0.39588787965476513
2013-05-07,0.11771529540419579
2013-05-08,0.37858118915132116
2013-05-09,0.37735316790640355
2013-05-10,-0.0037130346255643027
2013-05-12,0.8132229447364807
2013-05-13,0.11060157313477248
2013-05-14,0.2880082809133455
2013-05-15,0.40999731328338385
2013-05-16,-0.16969988215714693
2013-05-17,0.23429820189873377
2013-05-21,0.007174529812552712
2013-05-22,0.11787077276544138
2013-05-23,0.13385006386254514
2013-05-24,0.30731699160403675
2013-05-27,0.15273955091834068
2013-05-28,0.21646452655217477
2013-05-29,0.03369853560897437
2013-05-30,0.3946413916668722
2013-05-31,0.03794048330746591
2013-06-03,0.2844618931412697
2013-06-04,0.04235497588912646
2013-06-05,0.15694755942306735
2013-06-06,0.20537331162227523
2013-06-07,-0.3958423137664795
2013-06-10,-0.1423124736174941
2013-06-11,0.2539524945120017
2013-06-12,-0.09867606032639742
2013-06-13,-0.14028906201322874
2013-06-14,-0.4487998830154538
2013-06-15,-0.5494079987208048
2013-06-16,0.5490216240286827
2013-06-17,-0.11138404698835479
2013-06-18,-0.046133889351040125
2013-06-19,0.07370931009451548
2013-06-20,-0.5402003665351205
2013-06-21,-0.3660733439028263
2013-06-22,5.8785080909729004e-05
2013-06-23,-0.3466811068356037
2013-06-24,-0.27845408022403717
2013-06-25,-0.16485337830252117
2013-06-26,0.08645731831590335
2013-06-27,-0.21933923119848425
2013-06-28,-0.03237650692462921
2013-06-29,-0.9524444937705994
2013-07-01,-0.15285679697990417
2013-07-02,0.13153978843580594
2013-07-03,0.13551533796514073
2013-07-04,0.2791127475599448
2013-07-05,0.4961610430230697
2013-07-06,-0.5088466107845306
2013-07-07,-0.8885322213172913
2013-07-08,0.05332502316344868
2013-07-09,-0.4543918129056692
2013-07-10,0.1778091199696064
2013-07-11,-0.14835188605568625
